Name,2018-2019,2019-2020,2020-2021,2021-2022,2022-2023,2023-2024,NG years,PO years,TO years
"Jackson, Reggie",17043478,18086956,,,,,0,0,0
"James, LeBron",35654150,37436858,39219565,41002273,,,0,1,0
"Jerebko, Jonas",1512601,,,,,,0,0,0
"Johnson, Alize",838464,1416852,,,,,1,0,0
"Johnson, Amir",1512601,,,,,,0,0,0
"Johnson, James",14651700,15349400,16047100,,,,0,1,0
"Johnson, Stanley",3940402,,,,,,0,0,0
"Johnson, Tyler",19245370,19245370,,,,,0,1,0
"Johnson, Wesley",6134520,,,,,,0,0,0
"Jokic, Nikola",24605181,26573595,28542009,30510423,32478837,,0,0,0
"Jones Jr., Derrick",1512601,1645357,,,,,1,0,0
"Jones, Damian",1544951,2305057,,,,,0,0,1
"Jones, Tyus",2444053,,,,,,0,0,0
"Jordan, DeAndre",22897200,,,,,,0,0,0
"Joseph, Cory",7945000,,,,,,0,0,0
"Kaminsky, Frank",3627842,,,,,,0,0,0
"Kanter, Enes",18622514,,,,,,0,0,0
"Kennard, Luke",3275280,3827160,5273828,,,,0,0,2
"Kidd-Gilchrist, Michael",13000000,13000000,,,,,0,1,0
"Kleber, Maximilian",1378242,,,,,,0,0,0
"Knight, Brandon",14631250,15643750,,,,,0,0,0
"Knox, Kevin",3739920,4380120,4588680,5845978,,,0,0,2
"Korkmaz, Furkan",1740000,2033160,3665788,,,,0,0,2
"Kornet, Luke",1619260,,,,,,0,0,0
"Korver, Kyle",7560000,7500000,,,,,1,0,0
"Koufos, Kosta",8739500,,,,,,0,0,0
"Kurucs, Rodions",1618320,1699236,1780152,1861068,,,0,0,1
"Kuzma, Kyle",1689840,1974600,3562178,,,,0,0,2
"Labissiere, Skal",1544951,2338847,,,,,0,0,1
"Lamb, Jeremy",7488372,,,,,,0,0,0
"LaVine, Zach",19500000,19500000,19500000,19500000,,,0,0,0
"Layman, Jake",1544951,,,,,,0,0,0
"Leaf, T.J.",2407560,2813280,4326826,,,,0,0,1
"Lee, Courtney",12253780,12759670,,,,,0,0,0
"Len, Alex",4350000,4160000,,,,,0,0,0
"Leonard, Kawhi",23114067,21329752,,,,,0,1,0
"Leonard, Meyers",10595506,11286515,,,,,0,0,0
"Leuer, Jon",10002681,9508043,,,,,0,0,0
"LeVert, Caris",1702800,2625718,,,,,0,0,0
"Lillard, Damian",27977689,29802321,31626953,,,,0,0,0
"Lin, Jeremy",13768421,,,,,,0,0,0
"Livingston, Shaun",8307692,7692308,,,,,1,0,0
"Looney, Kevon",1512601,,,,,,0,0,0
"Lopez, Brook",3382000,,,,,,0,0,0
