Pos,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,34.0,15.0,0.0,11.1,1.9,5.1,0.368,0.4,2.0,0.2,1.5,3.1,0.478,0.408,0.5,0.6,0.889,0.2,1.2,1.4,1.8,0.4,0.3,0.7,0.9,4.7
2,20.0,31.0,31.0,20.8,1.6,4.4,0.378,0.7,2.5,0.295,0.9,1.8,0.491,0.463,0.4,0.5,0.688,0.5,1.1,1.6,0.6,0.5,0.3,0.5,2.8,4.4
2,25.0,28.0,2.0,12.9,2.1,4.7,0.45,0.6,1.8,0.347,1.5,2.9,0.512,0.515,0.9,1.1,0.867,0.1,1.2,1.3,1.5,0.4,0.1,0.4,0.6,5.8
3,25.0,38.0,11.0,25.0,2.7,6.1,0.45,1.1,3.0,0.348,1.7,3.1,0.552,0.537,1.2,1.7,0.688,1.6,2.7,4.3,0.7,1.0,0.5,0.8,2.5,7.7
1,25.0,39.0,39.0,27.6,4.7,10.0,0.47,2.2,5.0,0.436,2.5,5.0,0.505,0.58,0.8,1.0,0.842,0.2,2.3,2.5,2.4,0.6,0.1,1.2,2.3,12.4
2,26.0,37.0,37.0,30.3,5.8,13.4,0.431,2.1,6.2,0.336,3.7,7.2,0.513,0.509,1.5,1.9,0.764,0.5,2.6,3.1,3.8,0.9,0.2,2.2,2.9,15.1
1,21.0,38.0,38.0,32.0,6.5,13.8,0.472,1.2,3.0,0.389,5.4,10.8,0.495,0.514,3.8,5.3,0.719,0.6,3.0,3.6,7.6,1.7,0.6,3.1,2.5,18.1
2,22.0,3.0,0.0,5.3,0.0,1.0,0.0,0.0,0.3,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.3,0.0,0.3,1.0,0.0
1,28.0,30.0,17.0,19.8,1.8,4.1,0.443,0.7,1.8,0.396,1.1,2.3,0.478,0.529,0.6,0.7,0.773,0.7,2.1,2.9,4.4,0.6,0.1,1.3,2.1,4.9
5,35.0,18.0,4.0,9.0,1.1,3.1,0.339,0.8,2.3,0.366,0.2,0.8,0.267,0.473,0.3,0.3,1.0,0.2,1.5,1.7,0.3,0.2,0.1,0.4,1.1,3.2
2,20.0,19.0,15.0,22.5,3.4,8.2,0.419,0.2,0.7,0.286,3.2,7.4,0.433,0.432,1.1,1.9,0.568,1.4,2.3,3.7,3.1,0.9,0.3,1.3,2.7,8.2
3,30.0,37.0,37.0,31.6,5.9,12.8,0.459,2.4,5.2,0.455,3.5,7.7,0.461,0.551,5.5,6.0,0.919,1.0,5.3,6.3,2.5,0.7,0.3,1.4,2.0,19.6
2,27.0,35.0,1.0,23.7,3.1,8.1,0.387,1.7,5.1,0.333,1.4,3.0,0.481,0.493,1.0,1.3,0.8,0.7,1.8,2.5,1.2,0.5,0.1,0.4,1.9,9.0
5,34.0,38.0,38.0,34.4,5.7,12.8,0.441,1.6,4.2,0.371,4.1,8.6,0.476,0.502,3.1,4.0,0.768,1.0,7.5,8.6,4.5,1.3,1.4,2.2,2.8,15.9
5,38.0,10.0,0.0,16.3,2.2,4.3,0.512,0.4,0.7,0.571,1.8,3.6,0.5,0.558,1.3,1.8,0.722,1.1,4.9,6.0,3.0,0.1,0.9,0.7,1.7,6.1
3,32.0,34.0,31.0,26.8,5.5,10.6,0.517,1.1,2.7,0.413,4.4,7.9,0.552,0.569,1.6,1.9,0.848,1.0,5.5,6.5,2.4,0.9,0.6,1.5,2.7,13.7
3,28.0,37.0,37.0,35.4,9.2,20.5,0.452,3.4,8.8,0.383,5.9,11.7,0.503,0.534,5.2,6.2,0.834,1.5,6.6,8.1,4.0,2.2,0.6,2.8,2.9,27.0
4,33.0,38.0,38.0,25.5,4.4,7.8,0.559,0.3,0.7,0.393,4.1,7.1,0.576,0.577,1.6,2.3,0.698,2.6,4.1,6.7,1.3,0.8,0.5,1.0,2.6,10.6
4,20.0,25.0,0.0,10.6,2.4,5.0,0.468,0.0,0.2,0.0,2.4,4.9,0.484,0.468,0.6,1.1,0.536,1.0,2.0,3.0,1.2,0.7,0.2,1.0,2.2,5.3
1,20.0,38.0,29.0,26.5,3.9,8.0,0.482,0.6,1.5,0.368,3.3,6.5,0.508,0.516,1.8,2.2,0.8,0.8,2.1,2.9,2.9,1.0,0.6,1.7,2.0,10.1
5,26.0,39.0,39.0,31.1,5.7,8.5,0.664,0.0,0.0,0.0,5.7,8.5,0.664,0.664,3.6,5.6,0.645,3.6,8.7,12.3,1.9,0.9,2.1,1.5,2.7,15.0
1,23.0,4.0,0.0,3.8,0.5,1.3,0.4,0.5,0.5,1.0,0.0,0.8,0.0,0.6,1.0,1.0,1.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,1.0,2.5
4,23.0,36.0,36.0,33.2,5.9,12.9,0.455,1.5,4.2,0.367,4.3,8.7,0.497,0.514,2.0,2.9,0.683,1.7,5.8,7.5,3.5,0.8,0.8,1.8,2.4,15.2
2,30.0,32.0,18.0,33.2,5.6,14.6,0.381,2.6,8.5,0.303,3.0,6.1,0.49,0.469,2.0,2.5,0.778,0.4,2.0,2.4,2.2,0.5,0.4,1.5,2.2,15.7
5,34.0,31.0,29.0,16.9,2.1,4.0,0.52,0.0,0.0,0.0,2.1,4.0,0.52,0.52,1.0,1.3,0.795,1.4,4.4,5.8,1.6,0.2,0.5,1.2,2.1,5.2
1,23.0,17.0,1.0,12.0,1.5,3.9,0.388,0.5,1.9,0.273,1.0,2.0,0.5,0.455,0.5,0.5,1.0,0.0,1.1,1.1,2.1,0.7,0.0,0.6,1.0,4.1
2,25.0,3.0,0.0,13.0,0.3,2.3,0.143,0.0,1.0,0.0,0.3,1.3,0.25,0.143,0.0,0.0,0.0,0.7,1.3,2.0,0.7,0.3,0.0,1.0,1.7,0.7
4,24.0,38.0,35.0,31.1,4.7,9.0,0.523,1.1,3.0,0.351,3.7,6.0,0.61,0.582,1.8,2.7,0.68,1.0,3.9,4.9,0.9,0.8,1.2,0.9,2.5,12.3
1,26.0,38.0,1.0,18.3,1.6,4.0,0.395,0.7,1.9,0.342,0.9,2.1,0.443,0.477,0.4,0.6,0.625,0.4,1.4,1.8,3.1,0.9,0.1,1.1,1.6,4.2
2,31.0,39.0,39.0,29.4,3.4,8.0,0.428,2.1,5.3,0.396,1.3,2.7,0.49,0.559,0.4,0.4,0.933,1.0,3.2,4.2,1.3,0.8,0.8,1.1,2.5,9.3
4,28.0,25.0,25.0,31.6,2.9,7.1,0.412,0.6,2.4,0.237,2.4,4.7,0.5,0.452,0.9,1.2,0.767,0.9,7.0,8.0,6.7,1.8,0.9,3.0,3.4,7.3
2,33.0,33.0,0.0,19.3,2.8,7.0,0.409,2.0,5.6,0.351,0.9,1.4,0.644,0.55,0.5,0.6,0.842,0.5,2.2,2.6,0.5,0.4,0.2,0.7,1.8,8.2
4,28.0,26.0,2.0,23.0,4.0,7.8,0.507,0.8,2.1,0.37,3.2,5.7,0.557,0.557,1.4,1.8,0.783,1.8,4.6,6.5,0.8,0.9,0.7,1.6,2.8,10.1
4,32.0,37.0,14.0,26.8,4.0,8.2,0.487,1.2,3.4,0.352,2.8,4.8,0.582,0.56,2.2,2.4,0.909,1.1,3.8,4.9,1.7,0.6,0.5,1.1,2.1,11.3
4,29.0,35.0,35.0,35.8,8.4,17.9,0.467,2.3,6.4,0.363,6.1,11.6,0.523,0.531,5.8,7.8,0.74,1.3,7.3,8.7,5.2,0.7,0.5,3.8,2.9,24.8
2,23.0,10.0,3.0,10.6,1.1,2.9,0.379,0.3,1.1,0.273,0.8,1.8,0.444,0.431,0.2,0.4,0.5,0.5,1.6,2.1,1.0,0.1,0.0,0.6,0.6,2.7
2,26.0,36.0,36.0,33.5,6.6,16.8,0.394,2.7,7.7,0.349,3.9,9.1,0.433,0.474,4.7,5.4,0.857,0.6,2.8,3.4,2.9,0.9,0.1,2.0,2.4,20.6
2,29.0,34.0,34.0,37.1,9.7,22.1,0.44,4.8,12.2,0.389,5.0,9.9,0.503,0.548,9.4,11.0,0.85,0.8,5.1,5.9,8.6,2.1,0.6,5.6,3.4,33.6
3,25.0,25.0,18.0,22.1,2.5,5.5,0.449,0.6,2.0,0.327,1.8,3.6,0.517,0.507,0.5,0.8,0.65,1.0,3.2,4.2,0.7,0.9,1.0,0.6,2.8,6.1
5,25.0,38.0,0.0,25.1,6.1,9.7,0.63,0.0,0.1,0.333,6.1,9.7,0.632,0.631,3.4,5.5,0.612,2.4,4.1,6.6,1.6,0.9,1.4,1.3,2.8,15.7
1,35.0,28.0,0.0,15.5,2.1,5.3,0.401,0.9,2.9,0.293,1.3,2.3,0.538,0.483,1.6,1.9,0.815,0.1,1.6,1.7,1.2,0.8,0.2,0.7,1.6,6.6
2,24.0,23.0,21.0,31.7,5.9,13.6,0.433,1.7,5.0,0.328,4.2,8.5,0.495,0.494,2.7,3.3,0.803,0.7,2.5,3.2,2.7,1.1,0.4,1.2,2.2,16.0
2,27.0,37.0,37.0,29.8,5.0,9.8,0.515,2.5,5.1,0.492,2.5,4.7,0.54,0.643,1.2,1.5,0.833,0.7,2.8,3.5,2.4,0.6,0.2,1.4,2.8,13.8
4,26.0,38.0,38.0,34.2,7.8,15.4,0.504,1.9,4.6,0.425,5.8,10.9,0.538,0.567,3.3,3.8,0.888,0.8,7.2,8.0,2.2,0.8,0.4,2.0,2.1,20.9
2,24.0,17.0,0.0,11.0,0.9,3.1,0.302,0.3,1.5,0.2,0.6,1.6,0.393,0.349,1.0,1.1,0.944,0.4,0.8,1.2,1.4,0.2,0.1,0.7,2.0,3.2
1,25.0,30.0,0.0,17.8,2.3,5.5,0.415,0.3,1.3,0.25,1.9,4.1,0.468,0.445,1.1,1.8,0.593,0.4,2.4,2.7,1.6,1.4,0.3,0.7,1.5,5.9
2,23.0,39.0,15.0,26.7,3.4,7.9,0.426,1.7,4.8,0.362,1.6,3.1,0.525,0.535,0.9,1.4,0.661,0.5,3.2,3.7,1.3,1.1,0.7,0.8,2.3,9.5
4,20.0,22.0,0.0,8.1,0.8,1.5,0.5,0.1,0.2,0.4,0.7,1.3,0.517,0.529,0.5,0.6,0.786,0.8,0.8,1.6,0.5,0.2,0.4,0.5,2.0,2.1
5,38.0,3.0,0.0,4.7,0.7,2.0,0.333,0.0,0.7,0.0,0.7,1.3,0.5,0.333,0.0,0.0,0.0,0.3,1.3,1.7,0.0,0.0,0.0,0.7,1.0,1.3
3,28.0,34.0,16.0,26.8,3.9,9.4,0.419,1.3,4.0,0.326,2.6,5.4,0.486,0.488,2.0,2.3,0.896,0.9,4.1,5.0,3.6,1.0,0.3,1.4,1.3,11.2
