Jake Layman,2018-19,24,POR,NBA,SF,28,20,14.1,2.1,4.1,0.509,0.7,2,0.357,1.4,2.1,0.655,0.596,0.3,0.5,0.6,0.6,1.6,2.2,0.3,0.5,0.3,0.6,1,5.2
T.J. Leaf,2018-19,21,IND,NBA,PF,18,0,6.8,0.9,2.4,0.395,0.2,0.7,0.25,0.8,1.7,0.452,0.43,0.2,0.2,0.75,0.6,1.1,1.6,0.3,0.1,0.1,0.3,0.6,2.2
Courtney Lee,2018-19,33,NYK,NBA,SG,10,2,14.9,2,4.5,0.444,0.5,1.5,0.333,1.5,3,0.5,0.5,0.8,1.2,0.667,0.6,1.8,2.4,1.4,0.8,0.2,0.4,1.3,5.3
Damion Lee,2018-19,26,GSW,NBA,SG,16,0,12.2,1.7,3.6,0.466,0.8,1.9,0.419,0.9,1.7,0.519,0.578,0.7,0.8,0.846,0.2,1.6,1.8,0.2,0.5,0,0.5,1.2,4.9
Alex Len,2018-19,25,ATL,NBA,C,34,20,20.2,4.1,8.3,0.491,0.6,1.9,0.313,3.5,6.4,0.543,0.527,1.9,2.9,0.636,2.1,3.4,5.5,1,0.3,1,1.6,2.8,10.6
Kawhi Leonard,2018-19,27,TOR,NBA,SF,31,31,34.7,9.5,19,0.499,1.7,4.7,0.356,7.8,14.3,0.546,0.543,6.5,7.6,0.851,1.3,6.7,8,2.9,1.6,0.5,2.1,1.5,27.1
Meyers Leonard,2018-19,26,POR,NBA,C,36,0,14,2,4,0.5,0.8,1.9,0.426,1.2,2.1,0.566,0.601,0.8,0.9,0.853,0.9,3.2,4.1,1.1,0.3,0.1,0.7,1.6,5.6
Jon Leuer,2018-19,29,DET,NBA,PF,22,1,10.9,1.8,3,0.615,0,0.4,0,1.8,2.6,0.702,0.615,0.7,0.9,0.789,0.7,1.8,2.5,0.4,0.3,0.1,0.6,1.4,4.3
Caris LeVert,2018-19,24,BRK,NBA,SF,14,14,29.7,6.9,14.6,0.475,1.4,4.4,0.311,5.6,10.2,0.545,0.522,3.1,4.4,0.721,1,3.3,4.3,3.7,1.2,0.4,2.1,2.4,18.4
Damian Lillard,2018-19,28,POR,NBA,PG,39,39,35.5,8.8,19.5,0.45,3,7.8,0.387,5.7,11.7,0.492,0.528,6.1,6.8,0.894,0.8,3.9,4.6,5.8,0.9,0.5,2.8,1.9,26.6
Jeremy Lin,2018-19,30,ATL,NBA,PG,34,0,18.7,3.4,7.1,0.479,1,2.6,0.378,2.4,4.4,0.54,0.55,2.7,3.3,0.829,0.3,2.1,2.4,3.4,0.8,0.1,1.8,2,10.5
Shaun Livingston,2018-19,33,GSW,NBA,PG,29,0,16.3,1.9,4.1,0.45,0,0.1,0,1.9,4.1,0.458,0.45,0.8,1.1,0.75,0.8,1.4,2.2,2.2,0.6,0.6,0.7,1.2,4.6
Zach Lofton,2018-19,26,DET,NBA,SG,1,0,4,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
Kevon Looney,2018-19,22,GSW,NBA,C,39,16,20.6,2.9,4.6,0.629,0,0.2,0.143,2.8,4.4,0.649,0.632,0.8,1.4,0.611,2.5,3,5.5,1.8,0.4,0.7,0.7,2.9,6.6
Brook Lopez,2018-19,30,MIL,NBA,C,37,37,27.5,4.3,10.1,0.429,2.6,7.1,0.372,1.7,3,0.563,0.559,1.2,1.5,0.804,0.4,3.5,3.9,1,0.5,1.9,1,2.1,12.5
Robin Lopez,2018-19,30,CHI,NBA,C,32,0,16.8,2.5,4.9,0.503,0.1,0.4,0.231,2.4,4.5,0.528,0.513,0.7,0.9,0.7,1.1,1.4,2.5,1,0.1,0.9,1.5,1.8,5.7
Kevin Love,2018-19,30,CLE,NBA,PF,4,4,34,5.3,16.3,0.323,1.8,6,0.292,3.5,10.3,0.341,0.377,6.8,8.3,0.818,2.5,11,13.5,3.5,0.3,0.3,2.5,3.5,19
Kyle Lowry,2018-19,32,TOR,NBA,PG,30,30,34.1,5,11.5,0.433,2.1,6.6,0.325,2.8,4.9,0.578,0.526,2.4,2.8,0.845,0.5,4,4.5,9.8,1.4,0.5,2.7,2.2,14.4
Jordan Loyd,2018-19,25,TOR,NBA,PG,3,0,5.7,1,1,1,0.7,0.7,1,0.3,0.3,1,1.333,1.3,1.3,1,0.3,1.3,1.7,0.3,0,0,0.3,0.7,4
Timothe Luwawu-Cabarrot,2018-19,23,OKC,NBA,SF,17,1,6.9,0.8,2.4,0.317,0.3,1.2,0.238,0.5,1.2,0.4,0.378,0.2,0.4,0.667,0.2,0.8,1,0.2,0.2,0.1,0.3,0.8,2.1
